name	methane	ethane	propane	butane	pentane	hexane	cyclohexane	benzene	toluene	ethylbenzene	styrene	phenol	aniline	naphthalene	anthracene	acetic_acid	ethanol	methanol	acetone	methylamine	pyridine	pyrimidine	pyrazine	imidazole	thiophene	furan	indole	benzimidazole	purine	quinoline	isoquinoline	pyrrole	oxazole	thiazole	pyrazole	triazole_1H	tetrazole	aspirin	ibuprofen	paracetamol	caffeine	morphine	codeine	warfarin	lidocaine	diazepam	metformin	atorvastatin	methotrexate	sildenafil
isoquinoline	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.111111	0.217391	0.192308	0.192308	0.217391	0.217391	0.470588	0.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.238095	0.238095	0.210526	0.153846	0.086957	0.086957	0.259259	0.200000	0.151515	0.360000	1.000000	0.086957	0.153846	0.153846	0.153846	0.130435	0.071429	0.138889	0.076923	0.088235	0.076923	0.058824	0.056604	0.076923	0.095238	0.122449	0.000000	0.083333	0.086957	0.068493
pyrrole	0.000000	0.000000	0.090909	0.083333	0.071429	0.071429	0.000000	0.222222	0.117647	0.157895	0.100000	0.117647	0.117647	0.142857	0.125000	0.000000	0.076923	0.000000	0.000000	0.000000	0.133333	0.133333	0.076923	0.235294	0.142857	0.142857	0.190476	0.125000	0.074074	0.086957	0.086957	1.000000	0.105263	0.050000	0.235294	0.133333	0.105263	0.066667	0.064516	0.037037	0.064516	0.046512	0.044444	0.064516	0.088235	0.069767	0.000000	0.045455	0.031250	0.061538
oxazole	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.142857	0.090909	0.080000	0.080000	0.090909	0.090909	0.105263	0.095238	0.000000	0.000000	0.000000	0.000000	0.000000	0.222222	0.222222	0.187500	0.130435	0.105263	0.235294	0.071429	0.103448	0.062500	0.153846	0.153846	0.105263	1.000000	0.130435	0.181818	0.157895	0.083333	0.057143	0.027027	0.031250	0.055556	0.041667	0.040000	0.027027	0.050000	0.062500	0.000000	0.027778	0.028986	0.027778
thiazole	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.066667	0.043478	0.038462	0.038462	0.043478	0.043478	0.050000	0.045455	0.000000	0.000000	0.000000	0.000000	0.000000	0.222222	0.222222	0.266667	0.181818	0.235294	0.050000	0.034483	0.066667	0.133333	0.111111	0.153846	0.050000	0.130435	1.000000	0.130435	0.157895	0.083333	0.027778	0.027027	0.031250	0.055556	0.041667	0.040000	0.027027	0.024390	0.040816	0.000000	0.013699	0.028986	0.042254
pyrazole	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.142857	0.090909	0.080000	0.080000	0.090909	0.090909	0.105263	0.095238	0.000000	0.000000	0.000000	0.000000	0.000000	0.222222	0.222222	0.187500	0.238095	0.105263	0.105263	0.153846	0.142857	0.096774	0.153846	0.153846	0.235294	0.181818	0.130435	1.000000	0.294118	0.181818	0.088235	0.027027	0.031250	0.055556	0.041667	0.061224	0.027027	0.050000	0.062500	0.000000	0.027778	0.028986	0.057143
triazole_1H	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.090909	0.052632	0.045455	0.045455	0.052632	0.052632	0.062500	0.055556	0.066667	0.000000	0.000000	0.071429	0.000000	0.200000	0.200000	0.250000	0.222222	0.062500	0.062500	0.083333	0.120000	0.111111	0.130435	0.130435	0.133333	0.157895	0.157895	0.294118	1.000000	0.294118	0.064516	0.062500	0.074074	0.096774	0.022222	0.021277	0.062500	0.055556	0.068182	0.040000	0.029412	0.046875	0.060606
tetrazole	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.066667	0.043478	0.038462	0.038462	0.090909	0.043478	0.050000	0.045455	0.052632	0.055556	0.066667	0.055556	0.000000	0.100000	0.157895	0.117647	0.130435	0.050000	0.050000	0.071429	0.103448	0.133333	0.071429	0.071429	0.105263	0.083333	0.083333	0.181818	0.294118	1.000000	0.057143	0.055556	0.064516	0.055556	0.041667	0.019608	0.055556	0.050000	0.040816	0.071429	0.027778	0.044118	0.042254
aspirin	0.000000	0.040000	0.037037	0.035714	0.033333	0.033333	0.000000	0.125000	0.250000	0.225806	0.187500	0.250000	0.206897	0.185185	0.172414	0.240000	0.111111	0.080000	0.200000	0.038462	0.100000	0.064516	0.034483	0.027778	0.066667	0.066667	0.138889	0.131579	0.046512	0.138889	0.138889	0.066667	0.057143	0.027778	0.088235	0.064516	0.057143	1.000000	0.195122	0.222222	0.088889	0.089286	0.105263	0.166667	0.177778	0.148148	0.051282	0.148649	0.108108	0.103896
ibuprofen	0.000000	0.038462	0.074074	0.071429	0.066667	0.066667	0.000000	0.076923	0.161290	0.218750	0.114286	0.161290	0.125000	0.100000	0.093750	0.185185	0.107143	0.076923	0.148148	0.037037	0.062500	0.030303	0.033333	0.027027	0.031250	0.031250	0.076923	0.073171	0.045455	0.076923	0.076923	0.064516	0.027027	0.027027	0.027027	0.062500	0.055556	0.195122	1.000000	0.184211	0.086957	0.087719	0.066667	0.190476	0.173913	0.105263	0.050000	0.146667	0.169014	0.075000
paracetamol	0.000000	0.047619	0.043478	0.041667	0.038462	0.038462	0.000000	0.045455	0.148148	0.133333	0.096774	0.291667	0.107143	0.120000	0.111111	0.227273	0.083333	0.095238	0.238095	0.045455	0.035714	0.035714	0.040000	0.031250	0.037037	0.037037	0.088235	0.083333	0.051282	0.088235	0.088235	0.037037	0.031250	0.031250	0.031250	0.074074	0.064516	0.222222	0.184211	1.000000	0.097561	0.117647	0.072727	0.153846	0.225000	0.115385	0.088235	0.125000	0.114286	0.065789
